url,title,brand,category
https://nykaa.com/maybelline-fit-me-foundation-128,Maybelline Fit Me Matte + Poreless Foundation 128 Warm Nude,Maybelline,Foundation
https://nykaa.com/lakme-9to5-lipstick-m11,Lakme 9to5 Primer + Matte Lipstick Ruby Rush M11,Lakme,Lipstick
https://nykaa.com/mac-ruby-woo-lipstick,MAC Ruby Woo Retro Matte Lipstick,MAC,Lipstick
https://nykaa.com/loreal-infallible-foundation-24h,L'Oreal Infallible 24H Fresh Wear Foundation 130 True Beige,L'Oreal,Foundation
https://nykaa.com/nyx-epic-ink-liner-black,NYX Epic Ink Liner Black,NYX,Eyeliner
https://nykaa.com/maybelline-superstay-matte-ink-15,Maybelline SuperStay Matte Ink Liquid Lipstick 15 Lover,Maybelline,Lipstick
https://nykaa.com/lakme-absolute-argan-oil-lipcolor-rosy-brown,Lakme Absolute Argan Oil Lip Color Rosy Brown,Lakme,Lipstick
https://nykaa.com/sugar-nothing-else-matter-longwear-lipstick-01,Sugar Nothing Else Matter Longwear Lipstick 01 Bare Minimum,Sugar,Lipstick
https://nykaa.com/benefit-hoola-matte-bronzer,Benefit Hoola Matte Bronzer,Benefit,Bronzer
https://nykaa.com/fenty-beauty-pro-filtr-foundation-290,Fenty Beauty Pro Filt'r Soft Matte Foundation 290,Fenty Beauty,Foundation
