url,title,brand,category
https://purplle.com/maybelline-fit-me-matte-poreless-foundation-128-warm-nude,Maybelline New York Fit Me Matte+Poreless Liquid Foundation 128 Warm Nude,Maybelline,Foundation
https://purplle.com/lakme-9to5-primer-matte-lipstick-m11-ruby-rush,Lakme 9to5 Primer+Matte Lipstick M11 Ruby Rush,Lakme,Lipstick
https://purplle.com/mac-retro-matte-lipstick-ruby-woo,MAC Retro Matte Lipstick Ruby Woo,MAC,Lipstick
https://purplle.com/loreal-paris-infallible-24h-foundation-130-true-beige,L'Oreal Paris Infallible 24H Fresh Wear Foundation 130 True Beige,L'Oreal,Foundation
https://purplle.com/nyx-epic-ink-liner-black,NYX Professional Makeup Epic Ink Liner Black,NYX,Eyeliner
https://purplle.com/maybelline-superstay-matte-ink-liquid-lipstick-15-lover,Maybelline New York SuperStay Matte Ink Liquid Lipstick 15 Lover,Maybelline,Lipstick
https://purplle.com/lakme-absolute-argan-oil-lip-color-rosy-brown,Lakme Absolute Argan Oil Lip Color Rosy Brown,Lakme,Lipstick
https://purplle.com/sugar-nothing-else-matter-01-bare-minimum,Sugar Cosmetics Nothing Else Matter Longwear Lipstick 01 Bare Minimum,Sugar,Lipstick
https://purplle.com/benefit-hoola-matte-bronzer,Benefit Hoola Matte Bronzer,Benefit,Bronzer
https://purplle.com/fenty-beauty-pro-filtr-soft-matte-foundation-290,Fenty Beauty Pro Filt'r Soft Matte Longwear Foundation 290,Fenty Beauty,Foundation
https://purplle.com/maybelline-fit-me-foundation-220-natural-beige,Maybelline Fit Me Matte+Poreless Foundation 220 Natural Beige,Maybelline,Foundation
https://purplle.com/lakme-9to5-primer-matte-lipstick-m10-crimson-flame,Lakme 9to5 Primer+Matte Lipstick M10 Crimson Flame,Lakme,Lipstick
https://purplle.com/mac-retro-matte-lipstick-d-for-danger,MAC Retro Matte Lipstick D for Danger,MAC,Lipstick
https://purplle.com/loreal-infallible-foundation-120-vanilla,L'Oreal Paris Infallible 24H Foundation 120 Vanilla,L'Oreal,Foundation
https://purplle.com/nyx-epic-wear-liner-brown,NYX Epic Wear Liner Brown,NYX,Eyeliner
https://purplle.com/maybelline-superstay-matte-ink-20-pioneer,Maybelline SuperStay Matte Ink 20 Pioneer,Maybelline,Lipstick
https://purplle.com/lakme-absolute-argan-oil-lip-color-crimson-satin,Lakme Absolute Argan Oil Lip Color Crimson Satin,Lakme,Lipstick
https://purplle.com/sugar-nothing-else-matter-05-espresso-martini,Sugar Nothing Else Matter Lipstick 05 Espresso Martini,Sugar,Lipstick
https://purplle.com/benefit-dallas-rosy-brown-bronzer,Benefit Dallas Rosy Brown Bronzer,Benefit,Bronzer
https://purplle.com/fenty-beauty-foundation-310,Fenty Beauty Pro Filt'r Foundation 310,Fenty Beauty,Foundation
https://purplle.com/revlon-colorstay-foundation-180-sand-beige,Revlon ColorStay Makeup Foundation 180 Sand Beige,Revlon,Foundation
https://purplle.com/colorbar-kiss-proof-lipstick-guava-pink,Colorbar Kiss Proof Lipstick Guava Pink,Colorbar,Lipstick
https://purplle.com/elf-primer-infused-blush-always-rosy,e.l.f. Primer Infused Blush Always Rosy,e.l.f.,Blush
https://purplle.com/too-faced-born-this-way-foundation-warm-nude,Too Faced Born This Way Foundation Warm Nude,Too Faced,Foundation
https://purplle.com/huda-beauty-liquid-matte-lipstick-venus,Huda Beauty Liquid Matte Lipstick Venus,Huda Beauty,Lipstick
